PSNR,SSIM,UIQM (Generated),UIQM (Ground Truth)
20.056639,0.9110879,4.9612136,4.8399463
20.742157,0.8941018,4.961092,4.8398924
22.737614,0.8982936,4.9616475,4.8399925
25.430182,0.9773544,4.961608,4.8398633
20.388844,0.9363937,4.9611297,4.8398724
24.619429,0.96185917,4.961473,4.8397937
20.582676,0.95161045,4.9628196,4.841165
21.152447,0.9567447,4.961117,4.839296
26.442188,0.9744783,4.961065,4.8395405
22.824,0.95497894,4.9615283,4.8397603
26.48161,0.98276144,4.961645,4.8398933
24.992254,0.9721806,4.961357,4.839546
19.258736,0.92371845,4.9615855,4.8404264
22.97761,0.89071125,4.7575617,4.856744
28.412846,0.9746168,4.7576485,4.8569584
24.594458,0.97863245,4.7575455,4.856808
23.552086,0.94936705,4.757897,4.85715
22.861444,0.93944037,4.7574606,4.8570743
26.274061,0.97333145,4.757462,4.8569145
17.235369,0.67763543,4.7574735,4.85684
21.669239,0.9230374,4.758375,4.857672
20.94744,0.8891359,4.757429,4.856935
23.760609,0.9535014,4.758076,4.857339
17.568163,0.8448983,4.7574644,4.8572006
26.186878,0.98388577,4.7583785,4.8575783
22.380783,0.9537616,4.7588573,4.8580713
28.019032,0.9451777,4.757691,4.8570023
21.957407,0.94398516,4.7574134,4.8571978
25.850077,0.9836546,4.75744,4.8567667
16.61422,0.8528852,4.757712,4.857426
27.017345,0.9538096,4.7577295,4.857082
23.19062,0.95265126,4.757435,4.8571167
20.239216,0.9529927,4.757548,4.8569922
26.13028,0.95510143,4.75779,4.8571005
23.098984,0.87385607,4.7574615,4.857027
25.684574,0.9557894,4.7574444,4.8569016
20.006317,0.9205112,4.7574167,4.8567595
22.496132,0.9807034,4.75753,4.8569665
22.62725,0.9733701,4.75742,4.8569784
18.876574,0.8867354,4.757836,4.857385
27.876434,0.98564595,4.757523,4.85684
26.966072,0.9720964,4.757684,4.85685
23.982212,0.9625558,4.7576294,4.8569174
23.307331,0.97262985,4.7578635,4.8572316
15.73737,0.7369942,4.7576594,4.858241
25.179657,0.9637886,4.7574487,4.857018
28.408966,0.9886486,4.757646,4.856814
22.501755,0.94168556,4.758117,4.8575068
19.783836,0.9294074,4.7578983,4.857187
21.774517,0.90688604,4.7577806,4.857175
24.392527,0.9589701,4.7581887,4.8576903
23.55488,0.95159,4.7575808,4.857078
30.162155,0.9914614,4.757399,4.85672
27.150284,0.982054,4.757646,4.856891
24.79186,0.9803242,4.758392,4.857713
24.176807,0.94755113,4.7577553,4.8570757
27.488255,0.9703041,4.7579703,4.8571444
16.1738,0.8790235,4.758309,4.857122
19.966377,0.8579761,4.7574067,4.857193
22.626003,0.93349177,4.757414,4.857217
22.679653,0.92354965,4.757846,4.8571477
20.026253,0.93858206,4.757924,4.8570056
14.191025,0.46889025,4.7574477,4.8583345
25.929392,0.9803636,4.757623,4.856986
23.160244,0.9191229,4.7573953,4.856743
